path,page_count
/private/courts/file/tcfmac-20210830-open-materials.pdf,1202
/private/courts/file/tcfmac-20220718-open-materials.pdf,348
/private/courts/file/tcfmac-20220829-open-materials.pdf,1187
/private/courts/file/tcfmac-20230717-open-session-materials.pdf,412
/private/courts/file/tcfmac-202308-28-open-materials.pdf,1216
/private/courts/file/tcfmac-20240719-open-session-materialspdf.pdf,361
/private/courts/file/tcfmac-20240826-open-session-materials-web-version.pdf,1003
/private/courts/file/tcfmac-20240826-open-session-materials_web_versionpdf.pdf,1003
/private/courts/file/tcfmac-20241025-open-session-materials-rev1.pdf,274
/private/courts/file/tcfmac-20241025-open-session-materials-rev1pdf.pdf,274
/private/courts/file/tcfmac-20250815-open-session-materials.pdf,1232
/private/courts/file/tehama-fy-2024-25-q3-qfs.pdf,6
/private/courts/file/tuolumne-sch1-2425.pdf,4
/private/courts/itc/ctcfs2011.pdf,278
/private/courts/itc/rules-20250410-materials.pdf,454
/private/courts/itc/sp15-01.pdf,247
/private/courts/itc/spr12-02.pdf,4
/private/courts/itc/spr24-14.pdf,30
/private/courts/opinion-citing/s082101-link1.pdf,5
/private/courts/opinion-citing/s082101-link2.pdf,5
/private/courts/opinion-citing/s082101-link3.pdf,3
/private/courts/opinion-citing/s230051-link10.pdf,3
/private/courts/opinion-citing/s230051-link11.pdf,10
/private/courts/opinion-citing/s230051-link12.pdf,8
/private/courts/opinion-citing/s230051-link13.pdf,5
/private/courts/opinion-citing/s230051-link14.pdf,10
/private/courts/opinion-citing/s230051-link15.pdf,3
/private/courts/opinion-citing/s230051-link16.pdf,6
/private/courts/opinion-citing/s230051-link17.pdf,3
/private/courts/opinion-citing/s230051-link19.pdf,1
/private/courts/opinion-citing/s230051-link2.pdf,2
/private/courts/opinion-citing/s230051-link20.pdf,3
/private/courts/opinion-citing/s230051-link21.pdf,3
/private/courts/opinion-citing/s230051-link22.pdf,4
/private/courts/opinion-citing/s230051-link23.pdf,2
/private/courts/opinion-citing/s230051-link24.pdf,3
/private/courts/opinion-citing/s230051-link25.pdf,3
/private/courts/opinion-citing/s230051-link3.pdf,2
/private/courts/opinion-citing/s230051-link4.pdf,3
/private/courts/opinion-citing/s230051-link6.pdf,4
/private/courts/opinion-citing/s230051-link7.pdf,2
/private/courts/opinion-citing/s230051-link8.pdf,3
/private/courts/opinion-citing/s230051-link9.pdf,1
/private/courts/opinion-citing/s230899-link3.pdf,3
/private/courts/opinion-citing/s238544-link5.pdf,3
/private/courts/opinion-citing/s247278-link1.pdf,8
/private/courts/opinion-citing/s262530-link2.pdf,3
/private/courts/opinion-citing/s267522-link2.pdf,223
/private/courts/opinion-citing/s277072-link3.pdf,37
/private/courts/opinion-citing/s277487-link5.pdf,8
/private/courts/solicitation-request-document/4-12-kings-exhibit-c-jbsis-implementation-manual.pdf,393
/private/courts/solicitation-request-document/appendix-i-redacted-sample-actuarial-report.pdf,33
/private/courts/solicitation-request-document/attach-8-project-documents.pdf,1866
/private/courts/solicitation-request-document/attachment-8-maps-2025-04-rp-bidder-declaration.pdf,5
/private/courts/solicitation-request-document/attachment-9-performance-criteria-documents.pdf,4680
/private/courts/solicitation-request-document/bap-2022-07-sb-attachment-8_specifications-and-samples.pdf,33
/private/courts/solicitation-request-document/bap-2023-19-sb-attachment-8-specifications-and-samples.pdf,33
/private/courts/solicitation-request-document/cfcc-02-16-lv-attachment-5-darfur-certification.pdf,1
/private/courts/solicitation-request-document/cjs-2020-01-lv-attachment-8-notice-intent-apply.pdf,1
/private/courts/solicitation-request-document/cr-2019-04-lv-attach-6-payee-data-record-form.pdf,2
/private/courts/solicitation-request-document/fso-la-metro-elevator-2017-11-jp-attach-r-project-manual-dated-11-01-2017.pdf,301
